num_lectures,price,days_since_published,content_duration
11,0,2288,1.0
25,100,1762,6.5
11,40,1897,1.0
65,95,2249,2.5
21,20,2293,2.0
69,175,1681,9.5
24,40,1933,1.5
12,30,2176,1.0
13,95,2357,1.5
71,100,2621,3.5
95,75,1914,8.5
152,200,1952,5.5
49,40,2498,4.5
19,50,2263,2.0
11,20,2274,0.6333333333333333
138,190,2063,7.5
12,80,1762,0.7333333333333333
14,20,2299,3.0
29,95,2376,2.5
61,200,1752,9.5
92,105,1690,4.0
28,100,2310,2.5
16,75,2419,2.0
16,30,2096,3.0
14,30,2258,1.5
99,80,2266,2.0
7,0,1800,1.0
15,60,1947,1.5
12,0,2355,1.0
11,50,1650,2.0
49,200,2398,4.5
100,125,2233,20.5
16,95,2064,1.0
61,75,2513,6.0
16,20,2376,1.5
36,200,2302,2.5
12,40,2360,1.0
25,50,2361,2.0
12,60,1852,1.0
42,95,2397,5.0
16,75,2182,1.5
26,20,2340,3.0
30,20,1702,2.5
8,0,2369,1.0
20,0,2462,3.0
21,0,1686,3.0
87,40,1908,10.0
13,25,2619,1.5
60,20,1962,6.5
28,50,1929,3.0
56,200,2118,11.0
161,145,1683,14.0
98,50,2181,0.5166666666666666
24,95,2593,1.5
76,150,3221,13.0
224,200,2791,28.5
17,40,2133,1.5
6,50,1712,0.5333333333333333
18,50,2558,2.0
18,20,2193,1.0
12,25,2007,1.0
10,60,3233,2.0
31,20,1878,4.0
32,25,1672,3.5
29,200,2409,2.5
45,0,3250,10.5
91,200,2543,10.0
68,20,2335,6.5
24,30,3214,4.0
25,50,2025,1.5
11,40,2104,1.0
25,105,1663,1.5
26,60,1901,0.6333333333333333
69,100,2539,10.0
37,50,2225,1.5
66,20,2560,5.5
35,60,1985,4.0
45,75,2395,4.5
53,45,2186,7.0
10,25,1871,1.0
9,40,2409,2.0
60,50,2110,13.5
29,50,1720,3.5
34,35,2419,1.0
19,25,2115,1.0
18,30,1759,2.5
34,20,1858,1.5
96,195,1943,12.5
9,100,2557,1.0
16,20,2937,3.0
16,100,1647,1.0
36,100,1814,3.0
21,200,2458,2.0
35,45,1990,1.5
83,85,1712,5.0
8,20,2053,1.0
91,60,2055,16.5
30,20,1719,2.5
25,65,2389,1.0
14,40,1695,1.0
28,95,2325,5.0
13,35,2154,1.5
9,0,3006,2.0
22,195,2342,2.0
12,25,2713,3.5
9,35,1946,0.5666666666666667
29,200,2326,1.5
23,30,2382,0.7166666666666667
66,100,1668,12.5
15,25,1796,2.5
52,30,1745,3.5
14,30,2279,2.0
13,20,2558,1.5
55,50,3091,7.5
156,195,1662,24.0
158,150,1836,17.5
35,20,2132,5.0
30,20,2405,2.0
23,50,2791,3.0
108,50,2459,7.0
192,50,2549,6.0
49,50,2487,1.0
348,200,1914,19.5
12,30,1863,0.5833333333333334
15,20,2607,1.0
7,0,1928,1.0
10,50,2511,1.0
21,25,2063,3.0
5,45,2185,1.0
105,200,1979,12.5
28,45,2626,2.5
8,120,3245,2.5
34,195,2454,2.0
15,20,1731,1.0
19,40,2301,2.5
7,200,2300,1.5
8,25,2122,0.5666666666666667
30,95,1748,3.0
16,100,3105,1.0
15,45,1801,1.0
60,200,1685,5.0
16,20,1761,1.0
24,35,1647,3.5
95,0,3494,4.5
7,0,2606,1.0
18,35,2749,1.0
10,0,2041,0.5666666666666667
48,75,1889,4.5
20,50,2228,1.5
24,0,2755,1.0
5,30,2641,0.55
32,0,1832,2.0
8,20,1877,0.6166666666666667
304,20,2480,15.5
8,0,2181,1.0
12,25,1944,0.7
33,200,3146,2.5
48,30,1943,3.5
24,50,1809,1.0
47,60,2614,13.0
15,35,2855,2.0
38,100,1905,6.0
24,20,2356,2.0
34,200,1726,1.5
29,200,2235,2.0
110,50,2921,7.5
6,50,2118,0.6833333333333333
18,40,1991,2.0
15,50,2290,3.0
15,0,1664,3.0
25,195,2452,1.5
12,0,1790,0.5
11,20,2332,1.0
24,115,2448,2.0
97,45,3257,10.0
36,0,2676,4.5
7,0,1671,0.5833333333333334
14,20,2777,1.5
24,100,1914,2.0
43,75,1650,1.0
41,90,2809,3.5
113,75,2847,10.0
14,45,1937,1.0
24,0,1650,1.5
21,35,2128,1.0
13,20,2580,1.5
8,20,2349,0.6833333333333333
14,50,2467,3.5
40,95,3028,5.5
38,195,2085,5.0
21,30,2068,2.5
39,40,3047,3.0
5,20,2411,1.0
54,40,2066,11.5
21,20,2341,1.0
47,100,1783,3.5
10,20,2147,0.7333333333333333
7,20,1921,1.0
20,0,2651,3.0
6,40,2463,1.5
246,200,2333,32.5
18,95,1941,1.5
49,100,2333,9.0
19,35,2307,2.0
27,0,2187,3.0
9,20,1949,0.7333333333333333
188,200,2028,22.5
69,0,2074,5.0
20,40,1994,1.5
163,50,2132,10.5
48,20,2822,12.5
8,25,1661,2.0
12,20,2041,2.5
9,50,1650,2.0
195,20,3359,18.0
8,0,1856,1.0
20,200,2054,4.0
9,45,1784,1.0
14,20,2767,1.5
16,50,2810,4.0
19,150,1935,2.0
17,20,2253,3.0
8,0,2708,0.5833333333333334
22,50,2184,1.5
53,0,2384,3.0
33,95,2501,2.5
10,0,1656,2.0
10,20,2948,0.6333333333333333
83,100,2026,5.0
17,50,2250,0.6333333333333333
79,50,2356,15.0
56,50,1896,1.5
19,50,2859,3.0
32,20,2223,2.0
62,40,2216,3.5
16,20,2413,1.5
20,30,1929,1.5
86,95,1712,12.0
13,75,1654,2.5
33,50,2794,3.5
8,20,1873,1.0
45,60,2146,1.0
9,20,1795,1.0
13,20,2203,1.0
158,150,1846,30.0
24,85,1867,0.65
24,200,1705,3.0
37,200,1688,6.0
20,20,1777,2.0
17,0,1745,1.5
22,50,2859,4.0
25,25,1941,1.0
18,20,2437,2.0
20,200,2185,2.5
6,20,1692,0.5333333333333333
36,195,2328,3.5
29,195,2081,2.5
9,45,2158,2.0
16,200,1738,1.0
154,20,2267,14.5
4,35,2288,0.55
8,30,1831,2.0
59,95,1692,4.5
15,50,1930,1.5
26,95,1769,2.5
104,115,2388,5.5
29,100,1683,1.5
13,95,1824,1.0
22,150,2129,1.5
88,200,1902,7.0
35,25,2901,8.5
304,200,2132,30.5
10,95,1831,1.0
53,55,2586,3.0
5,20,2852,1.0
19,35,1719,1.0
103,195,1745,6.5
24,50,2193,3.5
14,80,2409,0.5
27,20,2312,3.0
49,50,1713,3.0
19,105,2574,2.0
75,50,3280,12.5
55,30,1907,4.5
5,20,2553,0.55
171,65,1817,19.0
235,100,1950,19.5
48,30,2153,3.0
12,25,1754,0.5
16,25,2977,4.5
19,20,2475,2.5
37,0,1867,2.5
104,110,2175,14.0
39,20,2325,4.0
7,40,1871,0.5833333333333334
6,0,2527,1.5
7,20,1692,1.0
7,40,2061,1.5
19,30,1705,3.0
26,50,1851,1.0
88,50,2564,6.0
51,50,3049,7.5
23,0,2038,2.0
10,20,1720,2.5
14,20,3264,1.5
9,20,2049,1.0
47,40,2255,0.7333333333333333
74,20,2223,4.0
14,0,2695,1.0
86,50,2854,5.5
13,20,2237,3.5
8,20,2577,0.6
31,0,2321,1.5
29,20,3025,2.5
39,25,2752,2.0
15,20,2250,2.5
6,20,2766,0.4833333333333333
32,195,2844,14.0
24,50,2889,5.5
19,0,1686,2.5
8,20,2182,0.6166666666666667
16,35,2870,2.0
91,100,1894,4.0
35,20,2935,2.5
52,25,3086,10.5
18,20,2412,1.0
6,20,2328,1.0
150,180,2203,26.5
29,50,2819,14.5
16,195,2468,2.0
31,0,2354,6.5
9,20,2665,1.0
110,95,2527,2.5
88,50,2262,10.5
27,25,1790,2.5
194,150,2137,9.5
61,50,2459,2.5
34,85,2605,2.0
20,20,1950,0.6333333333333333
19,80,1859,2.0
38,35,2016,3.0
129,200,2364,11.0
50,30,1908,3.5
21,20,2621,3.0
16,40,1718,1.5
27,20,2161,1.0
64,20,3374,9.5
62,95,1766,2.5
48,20,2378,2.0
22,95,1853,1.0
15,145,2070,1.0
44,30,2336,7.0
14,40,1935,1.0
68,50,2199,16.5
15,20,1705,1.5
65,0,1964,5.5
18,95,2014,2.0
17,95,2343,1.5
196,40,2063,5.5
9,25,1843,0.5833333333333334
27,20,1656,2.5
9,20,1777,1.0
13,50,2588,2.5
16,95,1851,1.5
62,75,2439,4.5
28,20,2672,1.5
7,20,2509,1.5
35,100,2250,3.0
35,50,2165,2.5
15,200,1772,1.0
33,20,2810,6.0
12,195,2056,1.0
14,20,2237,3.5
16,20,2875,1.5
6,20,2425,1.0
30,100,1872,2.0
17,200,2239,1.0
16,55,2451,1.5
5,20,1647,0.5166666666666666
31,20,2567,2.0
24,20,3491,1.0
11,40,2336,0.5833333333333334
18,50,1816,2.0
7,20,2014,1.0
11,100,2219,0.5
26,50,2824,7.5
70,30,2375,7.0
14,50,1712,1.0
20,0,2102,4.0
20,0,1789,2.0
65,20,2011,2.5
10,30,3012,2.0
77,50,1885,17.5
9,30,2498,1.0
24,20,2259,1.5
35,40,1651,5.5
69,0,1719,20.5
79,40,1765,6.5
15,95,2978,1.0
90,85,2444,5.0
9,50,1997,0.5166666666666666
8,20,2196,0.65
28,40,1969,4.0
58,95,2293,7.0
14,20,2817,1.5
37,200,2602,5.5
14,35,2784,1.0
16,50,1774,2.0
23,75,2719,2.0
58,20,2421,6.0
9,50,2067,2.0
84,20,2364,5.5
23,75,2517,3.0
69,80,1738,4.5
34,95,2096,2.5
48,85,2605,3.5
26,20,2252,2.5
35,20,2508,3.0
41,20,2138,4.0
20,200,1810,3.0
194,150,2258,24.5
129,150,1880,13.5
62,150,1977,2.0
26,55,2042,4.0
12,20,2196,3.0
11,50,1743,1.0
8,20,1727,1.0
14,40,2337,1.5
145,200,1898,14.5
63,50,1896,1.5
24,195,2579,5.0
16,120,2568,1.5
34,20,3071,1.5
42,50,2860,4.5
9,20,2122,1.0
20,0,1989,0.6166666666666667
10,50,1958,1.0
9,35,2491,0.55
11,0,1677,1.5
100,0,1845,5.0
25,30,2213,1.5
88,40,2194,7.5
17,20,2349,2.0
159,195,1897,18.5
6,135,1650,1.0
14,30,1914,1.0
111,150,2028,21.0
34,20,2850,6.5
57,50,1871,6.5
46,45,2273,5.5
10,70,1732,1.5
14,0,2813,1.5
81,20,2433,4.5
20,30,1650,3.0
13,30,2477,1.5
8,20,2480,1.0
30,50,2101,6.0
113,95,1888,2.0
16,20,1707,1.0
31,100,1957,3.0
25,40,2249,4.0
22,0,3531,2.5
18,45,2159,1.0
10,30,2340,1.0
13,40,1810,1.0
5,20,3071,1.0
11,20,1783,1.0
87,60,2173,17.5
50,200,2243,5.5
28,85,1843,3.5
110,50,2502,9.0
24,50,2090,4.0
8,65,2258,1.0
18,90,1709,2.5
46,75,2344,4.5
13,20,2973,0.6333333333333333
26,100,2371,3.5
185,100,3672,12.0
27,25,2173,6.0
28,80,2649,2.5
9,75,1655,2.5
19,0,2357,2.0
55,105,1968,6.0
27,20,1721,1.5
11,20,2540,0.6833333333333333
39,40,1811,5.5
30,30,1970,4.0
362,200,2711,30.0
11,0,2082,0.55
64,75,2164,4.5
9,35,1877,1.5
174,45,1937,16.5
20,20,2916,2.0
8,20,3149,1.0
5,20,2032,0.6
57,20,2490,2.0
25,45,2423,1.0
76,20,2083,5.0
26,95,2632,5.0
27,40,1654,1.0
79,200,2199,18.0
47,35,2173,3.5
16,200,2084,1.5
91,50,2299,7.0
43,100,2297,3.0
12,35,1691,0.7333333333333333
43,80,1851,5.5
77,20,2405,2.5
15,20,2270,3.0
11,20,2700,2.0
13,20,2368,1.5
5,20,2483,1.0
5,20,1834,1.0
43,100,2517,5.5
18,0,2283,5.0
36,50,2101,7.0
19,55,1696,2.0
18,55,2504,1.5
6,40,1868,0.5833333333333334
131,150,2138,19.5
5,50,2005,1.0
45,195,1975,4.0
5,20,2963,1.0
15,95,2111,1.0
34,125,1965,2.0
22,0,1778,2.0
80,200,2201,6.5
21,100,1973,5.0
44,20,2354,2.5
20,20,1888,2.0
5,0,2673,0.5166666666666666
29,75,2403,3.0
8,40,1922,1.0
38,0,2049,1.0
14,20,2414,0.65
154,195,2781,26.0
18,25,1977,5.0
14,20,1977,1.5
37,20,2192,1.5
68,40,1647,8.5
16,30,2803,2.0
13,100,1650,3.5
42,30,2950,4.0
90,50,2453,16.0
12,20,2204,1.0
24,50,2156,0.7
25,145,1865,3.5
101,50,3516,8.0
56,95,2501,6.0
94,20,2437,8.0
24,20,2590,2.0
18,195,2063,1.0
32,20,3128,2.0
13,20,2821,1.0
44,20,2334,5.5
23,50,2301,1.5
64,95,2483,3.5
11,20,2027,0.6
19,20,2350,1.0
46,40,2999,12.0
45,35,1790,3.0
60,100,2383,6.0
27,40,1936,2.0
179,35,2161,17.5
13,20,1732,3.0
27,195,2903,4.0
42,35,3019,3.5
39,50,2810,5.5
29,200,2394,2.0
31,50,2801,3.5
57,50,2087,7.0
27,50,2348,2.5
7,20,2216,0.6833333333333333
6,0,1717,1.0
12,20,2130,2.0
25,200,1817,1.0
28,20,2039,1.0
12,20,2671,1.5
19,30,2615,1.0
16,35,2097,1.0
16,0,2111,1.5
17,50,2791,3.0
6,60,1691,0.7
36,20,1713,4.5
30,120,2305,1.5
31,100,2297,1.5
50,50,2970,3.0
12,0,1710,1.5
11,20,2125,0.5
8,20,2459,1.0
7,25,2132,0.6166666666666667
15,20,1782,1.0
11,20,1751,1.0
27,50,2801,8.5
32,195,2143,2.0
41,30,3454,2.5
15,20,1670,1.0
20,200,1919,1.5
28,20,2949,1.5
28,60,2146,5.5
12,100,1656,2.5
11,40,2611,2.5
6,60,1705,0.6666666666666666
39,200,1746,2.5
17,0,2136,1.5
22,25,3028,3.0
157,100,1888,12.5
26,95,2249,3.5
9,20,1689,1.0
40,50,2131,4.5
8,0,1675,0.65
6,80,2137,0.7
105,150,1844,5.5
29,95,1892,1.5
27,20,2557,2.0
35,200,2420,5.0
24,100,1881,1.0
7,125,1765,0.6333333333333333
43,20,2282,2.5
26,0,3006,3.5
7,0,2322,0.6
32,200,1976,3.0
10,75,2214,1.0
25,0,1720,3.5
22,20,1767,1.5
73,100,2948,9.0
49,50,1791,3.0
23,40,2041,5.5
10,20,2825,1.0
23,40,2031,1.5
212,195,1796,37.5
42,35,2417,2.0
23,200,2392,2.0
38,20,2312,3.5
10,20,3547,0.6
16,40,2231,1.5
104,50,2446,5.0
45,50,2102,3.5
13,0,2263,1.0
24,60,1926,1.5
37,50,2129,3.5
32,50,1983,2.0
38,140,1768,3.0
59,50,2243,2.5
22,50,2102,2.0
22,20,2336,1.5
55,20,1958,10.0
9,20,1720,0.5333333333333333
9,50,2678,0.6833333333333333
9,0,1858,1.0
26,200,1781,1.5
12,100,1656,1.5
38,20,1773,4.0
12,20,2455,0.65
132,100,2132,16.0
15,150,1876,0.65
32,20,2202,3.0
46,200,1808,3.5
21,200,1843,1.5
72,195,2176,5.0
25,20,2542,2.0
16,200,2255,1.5
137,110,1944,7.0
10,50,1955,0.5666666666666667
11,0,2086,1.0
21,100,2034,2.0
24,200,1670,4.0
5,200,2278,0.5333333333333333
89,50,2459,6.0
12,25,1815,1.0
6,130,1765,0.5333333333333333
98,150,2327,19.5
74,55,2096,5.0
14,40,1691,1.0
20,100,2686,1.0
50,195,1846,6.5
22,50,2982,1.0
53,50,2864,5.0
20,120,2076,2.0
19,25,2393,1.5
12,50,3093,1.0
211,25,2094,20.5
12,0,2248,1.5
28,35,1718,2.0
21,50,2791,3.5
16,60,1894,1.0
12,50,1751,1.5
66,195,2602,9.0
45,50,1769,6.0
124,200,3188,22.0
14,75,1897,1.5
8,20,2073,1.0
5,20,2839,1.0
20,0,2466,1.0
19,95,1900,1.0
44,100,1717,2.0
76,150,1869,5.5
22,0,1816,2.5
6,160,2194,1.0
43,20,2371,4.0
47,165,1744,5.5
30,50,2109,1.5
19,0,1866,2.0
11,20,2882,1.5
20,20,2448,1.0
11,45,2156,2.0
25,100,1957,2.5
86,90,2419,6.5
54,200,1670,3.0
11,20,2022,1.5
55,175,2462,7.0
6,20,1779,1.5
17,25,2510,1.0
49,100,2235,5.0
17,0,2145,1.0
14,40,2352,1.0
8,65,1937,1.5
136,50,3058,12.0
15,20,1915,0.6333333333333333
19,20,2406,3.0
7,20,1725,0.5833333333333334
64,150,1995,6.5
25,40,2522,2.0
9,20,2186,2.0
24,35,2340,1.5
70,195,2256,7.5
5,0,2144,1.0
6,0,1684,1.0
24,30,1904,2.0
81,195,2055,5.0
19,100,1656,3.0
134,150,2535,12.0
7,0,2210,0.6
20,50,2791,3.0
42,25,3026,3.0
13,0,1657,0.65
26,145,2273,1.5
41,30,1899,4.0
13,20,2433,2.0
20,95,1923,2.0
13,20,2477,1.5
8,20,2126,1.5
13,40,1684,1.0
111,150,2077,8.5
5,25,2552,0.5333333333333333
19,20,2577,1.5
33,35,2179,1.0
57,195,1845,17.0
56,200,2514,5.5
20,80,1899,1.0
43,50,2463,5.5
14,20,1704,0.6166666666666667
77,60,2195,5.5
29,20,1726,4.5
162,60,2098,18.5
31,95,2347,1.5
13,100,2235,1.5
73,200,1713,7.0
43,75,1782,1.0
10,20,2339,1.0
25,20,2577,1.5
10,25,1922,0.6
62,50,2300,3.0
13,50,2143,2.0
23,50,1860,1.0
62,50,3693,4.5
43,200,2293,4.5
37,40,2601,1.0
27,40,2469,1.0
80,50,2017,12.0
35,200,1836,2.5
7,20,2302,1.0
35,50,2112,5.0
33,75,2990,5.0
21,200,1904,2.0
25,50,2990,2.0
25,95,1691,2.0
56,120,1908,8.5
7,45,2045,1.0
78,20,2521,6.0
12,20,2732,1.5
97,100,2310,11.0
27,75,2187,5.5
14,20,3002,1.0
18,50,2858,3.0
73,170,2086,5.0
22,20,2379,1.0
12,20,2803,1.0
20,25,1850,1.0
21,20,2391,1.0
13,60,3240,1.5
33,20,1798,5.0
18,70,2370,1.5
80,50,1937,5.5
14,25,1990,0.5333333333333333
48,20,1908,4.5
15,35,2874,1.5
13,20,2028,0.5833333333333334
20,60,2538,1.5
11,0,2115,0.6333333333333333
31,70,1852,2.5
33,0,1683,3.5
9,50,2250,1.0
30,50,2284,1.5
28,20,2034,1.5
31,50,2098,1.0
10,20,2119,1.0
40,105,2438,2.5
62,60,2189,11.0
7,45,1867,0.55
13,30,2826,2.0
16,195,2124,2.0
17,100,1697,2.5
17,35,1727,1.5
26,150,1796,3.0
64,195,1678,6.5
12,30,2307,1.5
29,50,2038,2.0
25,50,3344,4.0
59,145,1837,3.0
11,0,2402,1.5
36,70,2080,3.5
26,20,2105,3.0
55,200,2561,6.5
32,40,2231,3.5
135,40,2383,6.0
26,65,2148,1.0
12,200,1870,1.0
45,50,2914,7.0
12,25,2035,1.0
31,50,2221,1.0
16,50,1663,1.0
49,40,1923,6.0
15,50,2043,1.5
14,20,1734,1.5
30,40,2756,3.5
18,195,2449,1.5
20,50,2816,4.5
57,50,3370,7.5
28,20,2559,2.0
31,0,2299,2.5
14,25,1855,2.0
42,195,2197,4.5
38,195,2417,2.5
16,200,1655,1.5
14,20,3078,1.5
11,20,1821,1.5
22,40,1726,2.0
18,40,2280,1.0
19,200,1923,1.0
65,165,1883,18.5
45,150,2190,4.0
24,180,3231,4.5
17,50,2133,1.5
33,35,1712,1.0
83,30,2539,5.0
31,50,1689,6.0
9,20,2274,0.6166666666666667
74,200,1662,8.5
125,200,1676,19.5
8,20,2998,1.0
25,20,2000,1.5
14,75,2111,1.0
16,95,2509,2.0
30,120,2320,3.0
7,20,1825,1.0
39,95,2608,2.0
32,0,2344,3.0
23,20,2791,3.0
41,195,2145,4.0
54,35,2251,4.0
89,150,1894,20.5
6,20,1691,0.7
33,25,1782,1.5
33,30,2600,2.0
18,40,2758,3.0
308,150,2088,29.5
28,85,2271,2.5
9,40,1870,0.6333333333333333
10,200,1788,2.0
52,35,3635,3.5
36,25,1661,3.0
98,175,1938,16.5
6,20,1685,0.5666666666666667
16,20,2634,2.0
18,0,1655,1.5
10,25,1850,1.0
64,35,3407,10.0
26,95,2123,2.0
39,95,2082,3.0
20,140,2250,1.5
28,100,2482,3.0
10,50,2027,1.0
17,25,2620,1.5
34,30,2025,3.5
65,150,1880,4.5
12,20,3146,1.0
30,85,2633,2.5
100,50,2628,6.0
13,0,2108,1.0
66,70,2201,6.5
40,50,2306,3.0
13,0,1710,2.0
30,95,2514,2.5
15,0,2654,2.5
9,25,2014,1.0
9,20,2238,1.0
15,200,1765,0.7333333333333333
21,55,2000,1.0
18,40,2482,2.5
18,50,1789,2.0
19,200,1920,1.5
211,200,2395,19.5
67,195,2265,7.0
49,60,2141,3.0
64,50,2018,4.5
74,25,2412,14.0
36,0,1737,5.0
34,25,2224,4.0
8,20,1654,0.5833333333333334
10,40,1958,0.6166666666666667
15,50,1944,0.6666666666666666
96,150,2202,11.0
115,100,1893,11.5
71,50,2903,1.5
126,50,2628,7.5
35,50,2300,2.0
7,50,2076,1.0
60,40,1969,2.0
19,200,1713,2.0
94,50,2140,13.0
33,20,2147,2.0
21,150,1786,2.0
30,145,2362,1.5
23,0,1752,2.0
43,30,1815,2.5
15,45,2153,2.0
72,200,2062,5.5
12,0,2500,1.0
32,20,2395,1.5
21,200,2055,2.0
18,20,2337,1.5
29,105,2662,2.5
27,45,1683,3.5
87,50,3090,47.0
28,20,2618,2.5
36,20,1923,1.0
77,100,1797,10.0
13,0,1782,0.6166666666666667
24,35,2225,1.5
61,30,2431,3.0
51,30,1801,5.0
16,50,2232,2.5
